Id,SalePrice
1461,124554.49551066737
1462,155292.3883662801
1463,181387.06239695454
1464,198772.50947223135
1465,183812.2850532115
1466,172017.55173605765
1467,179947.14317756004
1468,166468.58351091214
1469,186864.829204555
1470,124418.48639064313
1471,197856.66822791199
1472,98293.41003149854
1473,98768.66427153151
1474,151408.68729775396
1475,114773.79641128407
1476,365117.4591445806
1477,245017.0262303203
1478,276443.8465025466
1479,266861.4836498002
1480,523601.3029084904
1481,327023.04757505754
1482,205139.60880020235
1483,166483.2799652962
1484,161144.78577370208
1485,180261.71220227706
1486,197666.60797124016
1487,331851.2764689439
1488,231917.70417867106
1489,193665.34491761992
1490,228997.8478764289
1491,187156.39046394618
1492,90246.96954620974
1493,181605.33081316596
1494,279448.2831538748
1495,286066.2742753792
1496,241302.97269125486
1497,180203.65352599067
1498,170442.57891570628
1499,161573.47658069895
1500,154815.37424030315
1501,174005.5402738137
1502,146470.01403493836
1503,292497.07348346047
1504,245122.3244014227
1505,227734.74073787947
1506,192124.43704108155
1507,265543.04811156145
1508,198013.41834650456
1509,162066.94144018632
1510,144186.78621894587
1511,152145.66317840238
1512,172709.20545735987
1513,145064.7070409086
1514,156023.95480111713
1515,198934.5510042886
1516,148666.0539494492
1517,168952.2374136798
1518,132536.26989271466
1519,221310.81688502542
1520,131770.98921676222
1521,134184.9362043442
1522,170298.61993590946
1523,113067.95352317698
1524,123605.45732473095
1525,122567.54811145976
1526,108960.83709479557
1527,105135.29483466875
1528,138877.40249522284
1529,152033.15149462034
1530,188148.62610347214
1531,100714.5602203156
1532,96512.29431429731
1533,145630.3993592506
1534,124559.3840608347
1535,146571.13458892383
1536,109143.61837295096
1537,63507.827651133186
1538,147718.06025251557
1539,178844.22940158626
1540,89830.84604666155
1541,136806.75887798084
1542,139803.28023343533
1543,196705.48247058154
1544,82740.69048608746
1545,114029.10061411963
1546,132645.72107085065
1547,131045.71688312721
1548,136750.47957098004
1549,116054.98439440526
1550,131696.07713888597
1551,108090.38965915024
1552,138727.69882890867
1553,139465.37910458134
1554,117288.6035691472
1555,158892.41931089878
1556,82373.17238199299
1557,106796.27318896237
1558,99740.91883752223
1559,68661.0161102687
1560,133920.85713000988
1561,132622.6171356273
1562,128836.55439245644
1563,123232.03857682674
1564,164042.16715248625
1565,144328.48529032824
1566,229100.88867048142
1567,79955.14891966888
1568,229437.28214766833
1569,132561.33985148807
1570,135380.83423591865
1571,117204.20447984636
1572,145708.654845125
1573,234911.46886222097
1574,112473.39738362904
1575,225375.308543244
1576,247672.88639750317
1577,182312.22523456864
1578,141368.12212392082
1579,144448.32627601657
1580,194381.77559775696
1581,151544.35108414997
1582,126071.08404022387
1583,320556.59715657786
1584,223981.48571009547
1585,139103.82885616165
1586,76342.8708996695
1587,99735.62929285981
1588,159215.63278548705
1589,102676.85545000949
1590,136515.58093601302
1591,95025.6107942576
1592,115925.95409244482
1593,123290.44601365029
1594,134798.73061667307
1595,109424.82159337566
1596,236973.86848382035
1597,183114.70919003448
1598,207757.23614238878
1599,164929.52187380425
1600,157870.71366381823
1601,67921.55190028694
1602,116704.64998335455
1603,68841.33835032233
1604,266352.8264214086
1605,243627.6482721399
1606,168666.5889756796
1607,179268.44573015487
1608,204645.45017366696
1609,179492.9984983721
1610,147615.51261575372
1611,133615.63584427818
1612,164972.25632298758
1613,164761.71031754586
1614,118164.6199256655
1615,89358.90850924334
1616,76361.73097323491
1617,94576.97010815718
1618,130488.132252301
1619,139933.58682819438
1620,164440.1970042209
1621,140328.9550690277
1622,141720.3149472285
1623,274384.0521675119
1624,211088.91924898815
1625,120887.91115340528
1626,164277.1098969446
1627,190225.97450046573
1628,286157.30574780726
1629,174619.29881459245
1630,382789.5233772725
1631,214580.4169042271
1632,234957.09703537248
1633,167814.09157013847
1634,187631.6766923531
1635,174338.94907043673
1636,154708.1656577185
1637,204049.24456920903
1638,183588.50278970483
1639,184177.16315514588
1640,262151.87780833885
1641,174680.07355752093
1642,233540.7384100054
1643,221263.58687337092
1644,234937.5843847974
1645,208268.04586219895
1646,159259.6518885764
1647,155287.68943254164
1648,133385.02816011617
1649,140390.72257066457
1650,115834.2948135084
1651,122012.96100860229
1652,96483.18054371697
1653,99947.74708417988
1654,148717.04200503297
1655,139627.57689202082
1656,143811.4899622211
1657,150034.4096360702
1658,144199.80229883033
1659,124653.90704240713
1660,155859.0195870281
1661,434437.3309259542
1662,417303.46936283226
1663,379185.9386305251
1664,533159.0829245443
1665,301865.8516412287
1666,323796.1846547127
1667,374117.4137794927
1668,331541.41912798624
